"variable","prev.apr","prev.may","prev.jun","prev.jul","prev.aug","prev.sep","prev.oct","prev.nov","prev.dec","curr.jan","curr.feb","curr.mar","curr.apr","curr.may","curr.jun","curr.jul","curr.aug"
"cld",5,0,3,1,7,7,7,7,7,4,7,8,3,8,8,8,7
"deficit",4,8,5,4,1,0,6,0,1,5,1,1,5,0,0,1,0
"dtr",4,8,4,3,1,0,1,2,1,2,1,0,4,0,0,1,0
"pet",5,8,5,6,4,1,3,0,2,4,0,0,7,0,0,0,0
"pre",4,0,4,5,6,5,2,8,7,2,6,7,4,8,8,7,8
"tmn",5,7,5,4,7,3,6,6,4,3,1,6,7,0,3,5,5
"tmp",4,8,6,3,7,1,4,3,4,2,1,4,7,0,1,1,0
"tmx",5,8,5,3,5,1,2,2,4,2,0,1,7,0,0,1,0
"vap",6,6,6,2,6,3,4,7,3,3,3,5,5,0,1,6,4
"wet",4,1,4,4,6,6,3,8,7,2,6,7,4,8,8,7,8
"PDSI_prewhiten",3,1,4,6,7,7,4,8,6,6,6,8,7,8,8,8,8
